Year,State,Annual Temperature Anomaly,5 Year Temperature Anomaly,10 Year Temperature Anomaly
2001,Assam,0.29141666666666666,0.23891666666666667,0.24045833333333333
2002,Assam,0.208875,0.195375,0.27929166666666666
2003,Assam,0.262125,0.24404166666666668,0.30524999999999997
2004,Assam,0.209875,0.2906666666666667,0.3037083333333333
2005,Assam,0.37279166666666663,0.333875,0.3352916666666667
2006,Assam,0.49595833333333333,0.3675,0.35508333333333336
2007,Assam,0.39775,0.45058333333333334,0.36116666666666664
2008,Assam,0.46275,0.4639166666666667,0.38245833333333334
2009,Assam,0.6081666666666666,0.4455,0.40629166666666666
2010,Assam,0.4286666666666667,0.4194166666666666,0.43487499999999996
2011,Assam,0.3887083333333334,0.4242083333333333,0.43533333333333335
2012,Assam,0.29633333333333334,0.4073333333333333,0.4567916666666667
2001,Andhra Pradesh,0.27679166666666666,0.25416666666666665,0.23687499999999997
2002,Andhra Pradesh,0.401,0.2658333333333333,0.2564166666666667
2003,Andhra Pradesh,0.38325000000000004,0.2919583333333333,0.22795833333333335
2004,Andhra Pradesh,0.19799999999999998,0.2813333333333333,0.2470416666666667
2005,Andhra Pradesh,0.25170833333333337,0.23970833333333333,0.2758333333333333
2006,Andhra Pradesh,0.22004166666666666,0.21025000000000002,0.2759166666666667
2007,Andhra Pradesh,0.20829166666666665,0.265125,0.28454166666666664
2008,Andhra Pradesh,0.248,0.27166666666666667,0.27929166666666666
2009,Andhra Pradesh,0.46416666666666667,0.28350000000000003,0.28591666666666665
2010,Andhra Pradesh,0.2866666666666667,0.3325416666666667,0.2956666666666667
2011,Andhra Pradesh,0.28979166666666667,0.3489583333333333,0.3409583333333333
2012,Andhra Pradesh,0.46366666666666667,0.32408333333333333,0.3545833333333333
2001,Gujarat,0.338125,0.3382083333333334,0.2843333333333333
2002,Gujarat,0.49487499999999995,0.367875,0.31983333333333336
2003,Gujarat,0.40279166666666666,0.3698333333333333,0.3212916666666667
2004,Gujarat,0.41025,0.3778333333333333,0.3495
2005,Gujarat,0.30995833333333334,0.3469166666666667,0.40225
2006,Gujarat,0.33241666666666664,0.333875,0.40920833333333334
2007,Gujarat,0.334125,0.3934166666666667,0.39520833333333333
2008,Gujarat,0.3384583333333333,0.4503333333333333,0.37837499999999996
2009,Gujarat,0.7241666666666666,0.44208333333333333,0.368875
2010,Gujarat,0.5914583333333333,0.427625,0.3960416666666667
2011,Gujarat,0.2705416666666667,0.4146666666666667,0.434
2012,Gujarat,0.31654166666666667,0.3714166666666667,0.44808333333333333
2001,Haryana,0.338125,0.3382083333333334,0.2843333333333333
2002,Haryana,0.49487499999999995,0.367875,0.31983333333333336
2003,Haryana,0.40279166666666666,0.3698333333333333,0.3212916666666667
2004,Haryana,0.41025,0.3778333333333333,0.3495
2005,Haryana,0.30995833333333334,0.3469166666666667,0.40225
2006,Haryana,0.33241666666666664,0.333875,0.40920833333333334
2007,Haryana,0.334125,0.3934166666666667,0.39520833333333333
2008,Haryana,0.3384583333333333,0.4503333333333333,0.37837499999999996
2009,Haryana,0.7241666666666666,0.44208333333333333,0.368875
2010,Haryana,0.5914583333333333,0.427625,0.3960416666666667
2011,Haryana,0.2705416666666667,0.4146666666666667,0.434
2012,Haryana,0.31654166666666667,0.3714166666666667,0.44808333333333333
2001,Karnataka,0.28058333333333335,0.29058333333333336,0.263625
2002,Karnataka,0.4364166666666667,0.32045833333333335,0.28458333333333335
2003,Karnataka,0.5399166666666667,0.33837500000000004,0.2554166666666667
2004,Karnataka,0.26579166666666665,0.3293333333333333,0.2679166666666667
2005,Karnataka,0.242125,0.28191666666666665,0.29662499999999997
2006,Karnataka,0.245375,0.2255,0.29554166666666665
2007,Karnataka,0.23004166666666667,0.2657083333333333,0.303375
2008,Karnataka,0.23875000000000002,0.28454166666666664,0.29175
2009,Karnataka,0.43966666666666665,0.2846666666666667,0.2877083333333333
2010,Karnataka,0.34520833333333334,0.33025,0.2989583333333333
2011,Karnataka,0.28833333333333333,0.3535833333333333,0.3501666666666667
2012,Karnataka,0.5027499999999999,0.34970833333333334,0.368625
2001,Kerala,0.28250000000000003,0.2864583333333333,0.29204166666666664
2002,Kerala,0.38033333333333336,0.29504166666666665,0.299375
2003,Kerala,0.4110833333333333,0.3124166666666667,0.270625
2004,Kerala,0.2880833333333333,0.323875,0.28262499999999996
2005,Kerala,0.35758333333333336,0.3047083333333333,0.30916666666666665
2006,Kerala,0.2876666666666667,0.28250000000000003,0.316
2007,Kerala,0.241625,0.31204166666666666,0.3292083333333334
2008,Kerala,0.2889583333333334,0.32004166666666667,0.3349583333333333
2009,Kerala,0.44679166666666664,0.32708333333333334,0.33841666666666664
2010,Kerala,0.41025,0.37304166666666666,0.34879166666666667
2011,Kerala,0.33779166666666666,0.39329166666666665,0.3857916666666667
2012,Kerala,0.47608333333333336,0.3934166666666667,0.4117916666666666
2001,Madhya Pradesh,0.21725000000000003,0.27220833333333333,0.21816666666666665
2002,Madhya Pradesh,0.5051249999999999,0.29941666666666666,0.26025000000000004
2003,Madhya Pradesh,0.35525,0.31595833333333334,0.2632083333333333
2004,Madhya Pradesh,0.30979166666666663,0.3360416666666666,0.28641666666666665
2005,Madhya Pradesh,0.27120833333333333,0.28641666666666665,0.3328333333333333
2006,Madhya Pradesh,0.3140833333333333,0.26437499999999997,0.3413333333333333
2007,Madhya Pradesh,0.2542083333333333,0.32675,0.324625
2008,Madhya Pradesh,0.23004166666666667,0.37670833333333337,0.28833333333333333
2009,Madhya Pradesh,0.6447083333333333,0.346125,0.267125
2010,Madhya Pradesh,0.5305,0.33749999999999997,0.2637083333333334
2011,Madhya Pradesh,0.15566666666666665,0.2956666666666667,0.302125
2012,Madhya Pradesh,0.21716666666666665,0.21558333333333335,0.3167083333333333
2001,Maharashtra,0.24525,0.24662499999999998,0.21616666666666665
2002,Maharashtra,0.42654166666666665,0.2754166666666667,0.24841666666666665
2003,Maharashtra,0.41883333333333334,0.29016666666666663,0.23345833333333332
2004,Maharashtra,0.26891666666666664,0.29012499999999997,0.263625
2005,Maharashtra,0.21937500000000001,0.26233333333333336,0.309125
2006,Maharashtra,0.22879166666666664,0.244375,0.3172916666666667
2007,Maharashtra,0.28125,0.3085,0.313125
2008,Maharashtra,0.3022916666666667,0.3517083333333333,0.29433333333333334
2009,Maharashtra,0.572,0.3491666666666666,0.2916666666666667
2010,Maharashtra,0.4307083333333333,0.3544583333333333,0.30291666666666667
2011,Maharashtra,0.21816666666666665,0.3329166666666667,0.3521666666666667
2012,Maharashtra,0.321375,0.28870833333333334,0.357
2001,Rajasthan,0.25658333333333333,0.3721666666666667,0.25495833333333334
2002,Rajasthan,0.6353333333333333,0.3958333333333333,0.3125
2003,Rajasthan,0.400125,0.38075,0.3358333333333334
2004,Rajasthan,0.419375,0.4046666666666667,0.3617083333333333
2005,Rajasthan,0.27870833333333334,0.33916666666666667,0.40229166666666666
2006,Rajasthan,0.4176666666666667,0.3252083333333333,0.39920833333333333
2007,Rajasthan,0.336,0.3794583333333333,0.371375
2008,Rajasthan,0.30525,0.433625,0.3373333333333333
2009,Rajasthan,0.6980416666666667,0.3907083333333334,0.30883333333333335
2010,Rajasthan,0.5280416666666666,0.36400000000000005,0.3193333333333333
2011,Rajasthan,0.16291666666666668,0.32545833333333335,0.34625
2012,Rajasthan,0.1985,0.2557916666666667,0.368875
2001,Tamil Nadu,0.29541666666666666,0.28179166666666666,0.27975
2002,Tamil Nadu,0.375875,0.28791666666666665,0.2910833333333333
2003,Tamil Nadu,0.38425,0.30120833333333336,0.259375
2004,Tamil Nadu,0.24691666666666667,0.3025833333333333,0.2697916666666667
2005,Tamil Nadu,0.2980833333333333,0.274875,0.29675
2006,Tamil Nadu,0.2690416666666667,0.253375,0.30120833333333336
2007,Tamil Nadu,0.22516666666666665,0.29075,0.314
2008,Tamil Nadu,0.27695833333333336,0.30554166666666666,0.327
2009,Tamil Nadu,0.4638333333333333,0.3193333333333333,0.340625
2010,Tamil Nadu,0.3705416666666667,0.37958333333333333,0.35741666666666666
2011,Tamil Nadu,0.34312499999999996,0.42395833333333327,0.3989583333333333
2012,Tamil Nadu,0.5302916666666667,0.420125,0.42770833333333336
2001,Uttar Pradesh,0.25758333333333333,0.301125,0.24441666666666664
2002,Uttar Pradesh,0.5189166666666666,0.31708333333333333,0.2960416666666667
2003,Uttar Pradesh,0.33508333333333334,0.37525000000000003,0.32775
2004,Uttar Pradesh,0.37833333333333335,0.41920833333333335,0.3431666666666667
2005,Uttar Pradesh,0.4535,0.3880416666666667,0.3798333333333333
2006,Uttar Pradesh,0.4800416666666667,0.3667916666666667,0.38479166666666664
2007,Uttar Pradesh,0.36791666666666667,0.4045,0.36145833333333327
2008,Uttar Pradesh,0.24333333333333332,0.41054166666666664,0.33058333333333334
2009,Uttar Pradesh,0.643625,0.356875,0.30995833333333334
2010,Uttar Pradesh,0.5363333333333333,0.354125,0.298375
2011,Uttar Pradesh,0.17595833333333333,0.3157083333333333,0.318625
2012,Uttar Pradesh,0.2569166666666667,0.23491666666666666,0.33666666666666667
2001,West Bengal,0.31895833333333334,0.25733333333333336,0.247125
2002,West Bengal,0.31283333333333335,0.26491666666666663,0.28275
2003,West Bengal,0.2604166666666667,0.32258333333333333,0.30495833333333333
2004,West Bengal,0.29550000000000004,0.3402083333333334,0.3150833333333333
2005,West Bengal,0.4552083333333334,0.3389166666666667,0.35429166666666667
2006,West Bengal,0.4101666666666666,0.35341666666666666,0.36520833333333336
2007,West Bengal,0.3172916666666667,0.40275,0.3577083333333333
2008,West Bengal,0.336,0.417375,0.35791666666666666
2009,West Bengal,0.5430833333333333,0.3834166666666667,0.3665
2010,West Bengal,0.5367083333333333,0.3894583333333333,0.3657916666666667
2011,West Bengal,0.2763333333333333,0.3829166666666666,0.3875416666666667
2012,West Bengal,0.34508333333333335,0.35200000000000004,0.41183333333333333
